codigo,precio,direccion,latitud,longitud,razon_social,distribuidor,nom_comuna,nom_region
pb1210102,1406.4595,21 de Mayo 3190,-53.18313731,-70.92664003,ESTACION DE SERVICIO PRAZNICA SPA,SHELL,Punta Arenas,Magallanes y de la Antártica Chilena
pb1210201,1415.619,Km 53 Ruta 9 Norte 0,-52.747472,-71.008944,SOCIEDAD COMERCIAL VICAM SPA/ TRANSPETROL SPA. ,Transpetrol,Laguna Blanca,Magallanes y de la Antártica Chilena
pb1240101,1444.8837,Ruta 9 con Av Ultima Esperanza 000,-51.7147256,-72.48345852,COMERCIALIZADORA Y SERVICIOS NITRAM SPA,SHELL,Natales,Magallanes y de la Antártica Chilena
pb1310201,1321.5,AVENIDA SALVADOR ALLENDE 7502,-33.49995039,-70.73481381,RC COMBUSTIBLES,Dale Combustibles,Cerrillos,Metropolitana de Santiago
pb1310301,1328.3334,José Joaquín Pérez 6658,-33.42935957,-70.72708905,El Confin Spa,Sin Bandera,Cerro Navia,Metropolitana de Santiago
pb1310401,1328,Independencia 6117,-33.3668394,-70.6891346,Estacion de servicio RHS spa,ORANGE COMBUSTIBLES,Conchalí,Metropolitana de Santiago
pb1310501,1318.6923,GRAN AVDA. JOSE MIGUEL CARRERA 10694,-33.54866449,-70.6702745,Inversion y Distribucion de Combustibles Action Spa,Sin Bandera,El Bosque,Metropolitana de Santiago
pb1310503,1321.6937,LO MARTINEZ 1483,-33.573957,-70.660667,Comercial LM Santiago,Speedway,El Bosque,Metropolitana de Santiago
pb1310504,1323.2727,Lo Espejo 0450,-33.54254822,-70.67621827,Combustibles Lonquen Spa,DELPA,El Bosque,Metropolitana de Santiago
pb1310601,1324.15,LIBERTADOR BERNARDO OHIGGINS 4502,-33.455745,-70.69749892,Eduardo Herrán y Compañía Limitada,SHELL,Estación Central,Metropolitana de Santiago
pb1310802,1317.8889,AV. LA PAZ 408,-33.42677633,-70.65133274,Combustibles Morcom spa,Sin Bandera,Independencia,Metropolitana de Santiago
